time,gps->velocity_mps[0], gps->velocity_mps[1],gps->speed_mps, gps->speedAccur_mps,gps->heading_motion_rad, gps->headingAccur_rad,rt_float[0], rt_float[1],
0.0000000,0.0000000,0.0030000,0.0030000,0.1780000,-0.0000000,3.1415927,0.0100000,0.0100000,
0.0000000,0.0000000,0.0080000,0.0080000,0.1570000,-0.0000000,3.1415927,0.0251327,0.1570000,
0.0000000,0.0000000,0.0140000,0.0140000,0.1500000,-0.0000000,3.1415927,0.0439823,0.1500000,
0.0000000,0.0000000,0.0130000,0.0130000,0.1420000,-0.0000000,3.1415927,0.0408407,0.1420000,
0.0000000,0.0000000,0.0070000,0.0070000,0.1620000,-0.0000000,3.1415927,0.0219912,0.1620000,
0.0000000,0.0000000,0.0030000,0.0030000,0.1420000,-0.0000000,3.1415927,0.0094248,0.1420000,
0.0000000,0.0000000,0.0060000,0.0060000,0.1420000,-0.0000000,3.1415927,0.0188496,0.1420000,
0.0000000,0.0000000,0.0020000,0.0020000,0.1370000,-0.0000000,3.1415927,0.0062832,0.1370000,
0.0000000,0.0000000,0.0060000,0.0060000,0.1610000,-0.0000000,3.1415927,0.0188496,0.1610000,
0.0000000,0.0000000,0.0080000,0.0080000,0.1300000,-0.0000000,3.1415927,0.0251327,0.1300000,
0.0000000,0.0000000,0.0150000,0.0150000,0.1590000,-0.0000000,3.1415927,0.0471239,0.1590000,
0.0000000,0.0000000,0.0190000,0.0190000,0.1640000,-0.0000000,3.1415927,0.0596903,0.1640000,
0.0000000,0.0000000,0.0020000,0.0020000,0.1430000,-0.0000000,3.1415927,0.0062832,0.1430000,
0.0000000,0.0000000,0.0050000,0.0050000,0.1620000,-0.0000000,3.1415927,0.0157080,0.1620000,
0.0000000,0.0000000,0.0060000,0.0060000,0.1430000,-0.0000000,3.1415927,0.0188496,0.1430000,
0.0000000,0.0000000,0.0140000,0.0140000,0.1250000,-0.0000000,3.1415927,0.0439823,0.1250000,
0.0000000,0.0000000,0.0090000,0.0090000,0.1660000,-0.0000000,3.1415927,0.0282743,0.1660000,
0.0000000,0.0000000,0.0070000,0.0070000,0.1670000,-0.0000000,3.1415927,0.0219912,0.1670000,
0.0000000,0.0000000,0.0050000,0.0050000,0.1420000,-0.0000000,3.1415927,0.0157080,0.1420000,
0.0000000,0.0000000,0.0090000,0.0090000,0.1490000,-0.0000000,3.1415927,0.0282743,0.1490000,
0.0000000,0.0000000,0.0060000,0.0060000,0.1440000,-0.0000000,3.1415927,0.0188496,0.1440000,
0.0000000,0.0000000,0.0060000,0.0060000,0.1400000,-0.0000000,3.1415927,0.0188496,0.1400000,
0.0000000,0.0000000,0.0050000,0.0050000,0.1510000,-0.0000000,3.1415927,0.0157080,0.1510000,
