time,fZk_Vel_Innov[0],fZk_Vel_Innov[1],dCovV[0],dCovV[1],dCovV[2],rt_float[0],rt_float[1],fCov_Vel_Innov[0],fCov_Vel_Innov[1],fNorm_Innov[0],fNorm_Innov[1],iRtn,
0.000000,0.016600,2.844300,1.000000,1.000000,1.000000,0.009425,0.178000,1.004701,1.085357,0.016522,2.620612,0,
0.000000,0.000164,0.023161,0.099504,0.099504,1.000000,0.025133,0.157000,0.187173,0.408535,0.000878,0.056694,1,
0.000000,0.000118,0.015787,0.084278,0.096507,1.000000,0.043982,0.150000,0.226020,0.399141,0.000522,0.039553,1,
0.000000,0.000102,0.015864,0.078200,0.093644,1.000000,0.040841,0.142000,0.216693,0.388290,0.000468,0.040857,1,
0.000000,0.000088,0.020942,0.072931,0.090880,1.000000,0.021991,0.162000,0.165257,0.412625,0.000534,0.050752,1,
0.000000,0.000071,0.023926,0.065444,0.088648,1.000000,0.009425,0.142000,0.117080,0.387116,0.000607,0.061805,1,
0.000000,0.000049,0.019671,0.054266,0.086292,1.000000,0.018850,0.142000,0.147629,0.386583,0.000331,0.050885,1,
0.000000,0.000042,0.022691,0.050467,0.084115,1.000000,0.006283,0.137000,0.093968,0.379573,0.000450,0.059780,1,
0.000000,0.000030,0.017577,0.042571,0.082024,1.000000,0.018850,0.161000,0.143742,0.409546,0.000209,0.042917,1,
0.000000,0.000027,0.014872,0.040661,0.080362,1.000000,0.025133,0.130000,0.163665,0.369402,0.000168,0.040259,1,
0.000000,0.000026,0.007168,0.039386,0.078437,1.000000,0.047124,0.159000,0.220625,0.406389,0.000117,0.017638,1,
0.000000,0.000025,0.002901,0.038754,0.076962,1.000000,0.059690,0.164000,0.247370,0.412217,0.000101,0.007037,1,
0.000000,0.000024,0.019800,0.038275,0.075609,1.000000,0.006283,0.143000,0.088024,0.385638,0.000276,0.051343,1,
0.000000,0.000020,0.016039,0.034467,0.074142,1.000000,0.015708,0.162000,0.129984,0.409264,0.000152,0.039189,1,
0.000000,0.000018,0.014512,0.033234,0.072915,1.000000,0.018850,0.143000,0.141259,0.385119,0.000130,0.037682,1,
0.000000,0.000017,0.005992,0.032301,0.071596,1.000000,0.043982,0.125000,0.212192,0.360730,0.000082,0.016611,1,
0.000000,0.000017,0.010756,0.031924,0.070172,1.000000,0.028274,0.166000,0.171153,0.413430,0.000099,0.026016,1,
0.000000,0.000016,0.012446,0.031364,0.069154,1.000000,0.021991,0.167000,0.151575,0.414466,0.000108,0.030029,1,
0.000000,0.000016,0.014100,0.030685,0.068184,1.000000,0.015708,0.142000,0.129033,0.382948,0.000121,0.036819,1,
0.000000,0.000015,0.009653,0.029805,0.067095,1.000000,0.028274,0.149000,0.170771,0.391793,0.000086,0.024637,1,
0.000000,0.000014,0.012370,0.029348,0.066104,1.000000,0.018850,0.144000,0.140395,0.385188,0.000102,0.032113,1,
0.000000,0.000014,0.012005,0.028699,0.065123,1.000000,0.018850,0.140000,0.140261,0.379791,0.000097,0.031610,1,
0.000000,0.000013,0.012652,0.028092,0.064158,1.000000,0.015708,0.151000,0.128441,0.393848,0.000102,0.032125,1,
0.000000,0.000012,0.014317,0.027412,0.063301,1.000000,0.009425,0.142000,0.100877,0.382109,0.000124,0.037467,1,
0.000000,0.000012,0.000924,0.026380,0.062427,1.000000,0.050265,0.154000,0.225746,0.397363,0.000051,0.002324,1,
0.000000,0.000011,0.011901,0.026200,0.061651,1.000000,0.015708,0.145000,0.128041,0.385747,0.000089,0.030851,1,
0.000000,0.000011,0.011597,0.025645,0.060859,1.000000,0.015708,0.143000,0.127928,0.383019,0.000085,0.030277,1,
0.000000,0.000010,0.000304,0.025125,0.060086,1.000000,0.050265,0.153000,0.225603,0.395740,0.000046,0.000768,1,
0.000000,0.000010,0.008297,0.024969,0.059389,1.000000,0.025133,0.153000,0.160487,0.395635,0.000064,0.020971,1,
0.000000,0.000010,0.005110,0.024665,0.058716,1.000000,0.034558,0.151000,0.187526,0.392998,0.000054,0.013003,1,
0.000000,0.000010,-0.001004,0.024450,0.058057,1.000000,0.053407,0.131000,0.232390,0.366566,0.000043,-0.002739,1,
0.000000,0.000010,0.006021,0.024315,0.057324,1.000000,0.031416,0.116000,0.178905,0.345378,0.000055,0.017434,1,
