Time, fMagVelBx, fMagVelBy, fMagVelBz, s_nZeroVelChkCnt, ZUPT_Run_Flag, ZUPT_FLAG 
108.034805,0.011688,0.247003,0.025239, 1, 0, 0
108.044807,0.011416,0.248509,0.006153, 2, 0, 0
108.054810,0.008918,0.249209,0.006300, 3, 0, 0
108.064804,0.003847,0.250367,0.004733, 4, 0, 0
108.074806,0.000394,0.251958,0.004013, 5, 0, 0
108.084808,0.001106,0.252751,0.003604, 6, 0, 0
108.094810,0.003357,0.252748,0.003135, 7, 0, 0
108.104805,0.005775,0.252183,0.002313, 8, 0, 0
108.114807,0.007704,0.251355,0.002639, 9, 0, 0
108.124809,0.010313,0.250445,0.004326, 10, 0, 0
108.134804,0.015092,0.250093,0.004886, 11, 0, 0
108.144806,0.019552,0.250327,0.007665, 12, 0, 0
108.154808,0.021686,0.251096,0.007774, 13, 0, 0
108.164810,0.024985,0.251387,0.008154, 14, 0, 0
108.174805,0.028135,0.251959,0.008534, 15, 0, 0
108.184807,0.029869,0.253315,0.007183, 16, 0, 0
108.194809,0.032668,0.254035,0.005864, 17, 0, 0
108.204803,0.035288,0.254722,0.006820, 18, 0, 0
108.214806,0.046064,0.919952,0.093507, 0, 0, 0
108.224808,0.057452,0.949499,0.118817, 0, 0, 0
108.234802,0.058113,0.983212,0.109300, 0, 0, 0
108.244804,0.056284,1.017244,0.102393, 0, 0, 0
108.254807,0.057085,1.052241,0.098516, 0, 0, 0
108.264809,0.060381,1.086510,0.092290, 0, 0, 0
108.274811,0.062730,1.119695,0.082433, 0, 0, 0
108.284805,0.061384,1.153448,0.073589, 0, 0, 0
108.294807,0.058463,1.187122,0.069235, 0, 0, 0
108.304810,0.057459,1.221335,0.067493, 0, 0, 0
108.314804,0.057875,1.255252,0.067278, 0, 0, 0
108.324806,0.056974,1.288949,0.061419, 0, 0, 0
108.334808,0.057244,1.322552,0.055978, 0, 0, 0
108.344810,0.058327,1.356176,0.050737, 0, 0, 0
108.354805,0.056609,1.389173,0.047793, 0, 0, 0
108.364807,0.053513,1.421388,0.043777, 0, 0, 0
108.374809,0.051616,1.453204,0.040952, 0, 0, 0
108.384804,0.051133,1.486210,0.037660, 0, 0, 0
108.394806,0.049725,1.520545,0.035899, 0, 0, 0
108.404808,0.048771,1.554302,0.032601, 0, 0, 0
108.414810,0.048889,1.586546,0.029563, 0, 0, 0
108.424805,0.047184,1.618072,0.027408, 0, 0, 0
108.434807,0.043146,1.650192,0.023954, 0, 0, 0
108.444809,0.044294,1.682247,0.024245, 0, 0, 0
108.454803,0.046113,1.715228,0.022517, 0, 0, 0
108.464806,0.048781,2.574121,0.132107, 0, 0, 0
108.474808,0.052588,2.617231,0.156395, 0, 0, 0
108.484810,0.051981,2.662586,0.146560, 0, 0, 0
108.494804,0.049891,2.708933,0.136625, 0, 0, 0
108.504807,0.045285,2.755003,0.127019, 0, 0, 0
108.514809,0.045245,2.802030,0.116661, 0, 0, 0
108.524811,0.045873,2.849639,0.109052, 0, 0, 0
108.534805,0.042049,2.897060,0.098287, 0, 0, 0
108.544807,0.037439,2.943983,0.090474, 0, 0, 0
108.554810,0.035577,2.990368,0.083876, 0, 0, 0
108.564804,0.035128,3.036407,0.076823, 0, 0, 0
108.574806,0.036116,3.083559,0.070531, 0, 0, 0
108.584808,0.036444,3.131646,0.064913, 0, 0, 0
108.594810,0.035106,3.179628,0.061858, 0, 0, 0
108.604805,0.033667,3.226703,0.057556, 0, 0, 0
108.614807,0.033081,3.272818,0.053061, 0, 0, 0
108.624809,0.030739,3.318356,0.044178, 0, 0, 0
108.634804,0.030745,3.364828,0.038073, 0, 0, 0
108.644806,0.035939,3.413353,0.037200, 0, 0, 0
108.654808,0.038606,3.462523,0.037686, 0, 0, 0
108.664810,0.036990,3.510786,0.036092, 0, 0, 0
108.674805,0.035502,3.557647,0.033602, 0, 0, 0
108.684807,0.035737,3.603538,0.030298, 0, 0, 0
108.694809,0.034934,3.649380,0.026050, 0, 0, 0
108.704803,0.034237,3.695344,0.023108, 0, 0, 0
108.714806,0.084040,3.534155,0.062157, 0, 0, 0
108.724808,0.046991,3.581977,0.016153, 0, 0, 0
108.734810,0.045718,3.627518,0.017183, 0, 0, 0
108.744804,0.044790,3.671608,0.014927, 0, 0, 0
108.754807,0.047270,3.715653,0.008777, 0, 0, 0
108.764809,0.047066,3.760136,0.003968, 0, 0, 0
108.774811,0.045083,3.806058,0.000582, 0, 0, 0
108.784805,0.043642,3.853209,0.003466, 0, 0, 0
108.794807,0.044957,3.900895,0.004722, 0, 0, 0
108.804810,0.044444,3.946928,0.004317, 0, 0, 0
108.814804,0.040375,3.991561,0.000415, 0, 0, 0
108.824806,0.039046,4.036093,0.001828, 0, 0, 0
108.834808,0.039875,4.080915,0.000595, 0, 0, 0
108.844810,0.037126,4.125923,0.000764, 0, 0, 0
108.854805,0.032569,4.170134,0.002686, 0, 0, 0
108.864807,0.033047,4.213920,0.006338, 0, 0, 0
108.874809,0.034296,4.258031,0.009822, 0, 0, 0
108.884804,0.032148,4.302892,0.014356, 0, 0, 0
108.894806,0.028778,4.348060,0.016727, 0, 0, 0
108.904808,0.028391,4.394203,0.017993, 0, 0, 0
108.914803,0.027843,4.441292,0.017516, 0, 0, 0
108.924805,0.024504,4.487574,0.016597, 0, 0, 0
108.934807,0.021897,4.533280,0.019029, 0, 0, 0
108.944809,0.018650,4.578864,0.022509, 0, 0, 0
108.954803,0.015576,4.624556,0.024875, 0, 0, 0
108.964806,0.044198,4.021718,0.125638, 0, 0, 0
108.974808,0.020610,4.062174,0.001104, 0, 0, 0
108.984802,0.018745,4.101624,0.001158, 0, 0, 0
108.994804,0.018967,4.140253,0.000602, 0, 0, 0
109.004807,0.020870,4.177270,0.003514, 0, 0, 0
109.014809,0.017608,4.214534,0.007086, 0, 0, 0
109.024818,0.012431,4.252283,0.007442, 0, 0, 0
109.034805,0.013412,4.291324,0.004120, 0, 0, 0
