Enum,Value,UI label,X axis direction,Y axis direction,Z axis direction
ROTATION_NONE,0,No rotation,bow,starboard,down
ROTATION_YAW_90,2,Yaw 90°,starboard,stern,down
ROTATION_YAW_180,4,Yaw 180°,stern,port,down
ROTATION_YAW_270,6,Yaw 270°,port,bow,down
ROTATION_ROLL_180,8,Roll 180°,bow,port,up
ROTATION_ROLL_180_YAW_90,10,"Roll 180°, Yaw 90°",starboard,bow,up
ROTATION_PITCH_180,12,Pitch 180°,stern,starboard,up
ROTATION_ROLL_180_YAW_270,14,"Roll 180°, Yaw 270°",port,stern,up
ROTATION_ROLL_90,16,Roll 90°,bow,down,port
ROTATION_ROLL_90_YAW_90,18,"Roll 90°, Yaw 90°",starboard,down,bow
ROTATION_ROLL_270,20,Roll 270°,bow,up,starboard
ROTATION_ROLL_270_YAW_90,22,"Roll 270°, Yaw 90°",starboard,up,stern
ROTATION_PITCH_90,24,Pitch 90°,up,starboard,bow
ROTATION_PITCH_270,25,Pitch 270°,down,starboard,stern
ROTATION_PITCH_180_YAW_90,26,"Pitch 180°, Yaw 90°",port,stern,up
ROTATION_PITCH_180_YAW_270,27,"Pitch 180°, Yaw 270°",starboard,bow,up
ROTATION_ROLL_90_PITCH_90,28,"Roll 90°, Pitch 90°",up,bow,port
ROTATION_ROLL_180_PITCH_90,29,"Roll 180°, Pitch 90°",up,port,stern
ROTATION_ROLL_270_PITCH_90,30,"Roll 270°, Pitch 90°",up,stern,starboard
ROTATION_ROLL_90_PITCH_180,31,"Roll 90°, Pitch 180°",stern,up,port
ROTATION_ROLL_270_PITCH_180,32,"Roll 270°, Pitch 180°",stern,down,starboard
ROTATION_ROLL_90_PITCH_270,33,"Roll 90°, Pitch 270°",down,stern,port
ROTATION_ROLL_180_PITCH_270,34,"Roll 180°, Pitch 270°",down,port,bow
ROTATION_ROLL_270_PITCH_270,35,"Roll 270°, Pitch 270°",down,bow,starboard
ROTATION_ROLL_90_PITCH_180_YAW_90,36,"Roll 90°, Pitch 180°, Yaw 90°",port,up,bow
ROTATION_ROLL_90_YAW_270,37,"Roll 90°, Yaw 270°",port,down,stern
