%time,latitude,longitude,height,dd[0],wmeas_B,baseline_m,baseline_error_m,yaw_deg,yaw_rms_deg,is_reject
  219.7948,  32.070279440,  34.788982229,   51.3203,   -0.0171,   35.3141,    0.9600,    0.0400, -209.9488,    0.5931,1
  220.0448,  32.070271446,  34.788984938,   51.3083,   -0.0123,   38.5593,    0.9900,    0.0100, -200.2041,    0.5769,1
  220.2848,  32.070263873,  34.788987969,   51.2821,    0.0011,   38.3193,    0.9800,    0.0200, -190.0027,    0.5827,1
  220.5448,  32.070256035,  34.788992728,   51.2393,   -0.0190,   40.3735,    1.0200,    0.0200, -180.8314,    0.5617,1
  220.7948,  32.070249049,  34.788998599,   51.2077,   -0.0282,   40.1389,    1.0100,    0.0100, -171.2347,    0.5655,1
  221.0448,  32.070242633,  34.789005660,   51.1468,   -0.0115,   39.4720,    1.0000,    0.0000, -160.3544,    0.5674,1
  221.2948,  32.070236713,  34.789013465,   51.0946,   -0.0086,   36.0151,    1.0100,    0.0100, -150.7851,    0.5620,1
  221.5448,  32.070231422,  34.789022371,   51.0449,   -0.0152,   34.0780,    1.0200,    0.0200, -142.2993,    0.5611,1
  221.7948,  32.070226750,  34.789032397,   50.9766,   -0.0011,   29.2911,    1.0100,    0.0100, -133.4171,    0.5667,1
  222.0448,  32.070222228,  34.789043072,   50.8826,   -0.0021,   25.1150,    1.0000,    0.0000, -126.7075,    0.5715,1
  222.2948,  32.070217916,  34.789054435,   50.8030,    0.0091,   20.4763,    0.9900,    0.0100, -120.5463,    0.5759,1
  222.5448,  32.070213864,  34.789066586,   50.7226,    0.0235,   15.5327,    1.0000,    0.0000, -115.2541,    0.5695,1
  222.8048,  32.070209733,  34.789080056,   50.6553,    0.0002,   11.4937,    0.9900,    0.0100, -112.8905,    0.5755,1
  223.0448,  32.070205679,  34.789093165,   50.5662,    0.0182,    8.7295,    1.0000,    0.0000, -109.4775,    0.5721,1
  223.2948,  32.070201424,  34.789107665,   50.4852,    0.0249,    7.7172,    1.0000,    0.0000, -107.2108,    0.5705,1
  223.5348,  32.070197558,  34.789122219,   50.4090,    0.0485,    6.2966,    1.0100,    0.0100, -104.0799,    0.5942,1
  223.7948,  32.070193747,  34.789138731,   50.3094,    0.0116,    6.3903,    1.0000,    0.0000, -104.3410,    0.6541,1
  224.0448,  32.070190104,  34.789154991,   50.2199,   -0.0011,    4.6360,    1.0300,    0.0300, -103.9390,    0.6288,1
  224.2948,  32.070186530,  34.789171421,   50.1398,    0.0149,    3.0108,    1.0200,    0.0200, -102.1895,    0.7112,1
  224.8048,  32.070179523,  34.789205618,   49.9743,    0.0343,    3.4742,    1.0300,    0.0300, -100.1491,    0.7215,1
  225.0448,  32.070176425,  34.789221814,   49.8969,    0.0434,    1.3427,    1.0400,    0.0400,  -99.3764,    0.7158,1
  225.2948,  32.070173480,  34.789238626,   49.7981,    0.0393,   -0.1100,    1.0400,    0.0400,  -99.3948,    0.6350,1
  225.5448,  32.070170622,  34.789255471,   49.7299,    0.0436,    0.2107,    1.0400,    0.0400,  -99.0151,    0.5854,1
  225.7948,  32.070167808,  34.789272473,   49.6721,    0.0611,   -0.2152,    1.0200,    0.0200,  -97.9318,    0.5583,0
  226.0448,  32.070165088,  34.789289559,   49.6030,    0.0600,   -0.8378,    1.0100,    0.0100,  -97.9006,    0.5619,0
  226.2848,  32.070162532,  34.789305882,   49.5379,    0.0652,   -0.6806,    1.0100,    0.0100,  -97.5935,    0.5636,0
  226.5448,  32.070159670,  34.789324020,   49.4676,    0.0573,    0.6293,    1.0000,    0.0000,  -98.0364,    0.5679,0
  226.8048,  32.070156778,  34.789342303,   49.4112,    0.0747,   -0.1504,    1.0500,    0.0500,  -97.0936,    0.5428,1
  227.0448,  32.070154148,  34.789359034,   49.3419,    0.0654,    0.0560,    1.0500,    0.0500,  -97.6997,    0.5460,1
  227.2948,  32.070151493,  34.789376556,   49.2744,    0.0576,   -1.1754,    1.0600,    0.0600,  -98.1471,    0.5408,1
  227.5448,  32.070149063,  34.789393891,   49.2076,    0.0456,    3.2470,    1.0500,    0.0500,  -98.7062,    0.5419,1
  229.7948,  32.070130256,  34.789553369,   48.7513,    0.0488,    0.4510,    1.0300,    0.0300,  -97.0025,    0.5551,1
  230.0348,  32.070128297,  34.789571039,   48.7449,    0.0513,    0.0834,    1.0300,    0.0300,  -96.7619,    0.5569,1
