time,zVel_E[0],zVel_N[1],vel_mps_E,vel_mps_N,gps_vel_mps_E,gps_vel_mps_N,vn_corr_mps_E,vn_corr_mps_N,rt_float_E,rt_float_N,P_Vel[0],P_Vel_N[1],
0.0000000,0.0166000,2.8443000,0.0166000,2.8473001,0.0000000,0.0030000,0.0000000,0.0000000,0.1000000,0.1000000,1.0000000,1.0000000,
0.0000000,0.0001644,0.0231613,0.0001644,0.0311613,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3962322,0.0995037,0.0995037,
0.0000000,0.0001179,0.0157873,0.0001179,0.0297873,0.0000000,0.0140000,0.0000000,0.0000000,0.2097196,0.3872983,0.0842784,0.0965072,
0.0000000,0.0001015,0.0158644,0.0001015,0.0288644,0.0000000,0.0130000,0.0000000,0.0000000,0.2020908,0.3768289,0.0782002,0.0936437,
0.0000000,0.0000883,0.0209417,0.0000883,0.0279417,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.4024922,0.0729305,0.0908797,
0.0000000,0.0000711,0.0239258,0.0000711,0.0269258,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3768289,0.0654444,0.0886480,
0.0000000,0.0000489,0.0196711,0.0000489,0.0256712,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.3768289,0.0542657,0.0862924,
0.0000000,0.0000423,0.0226910,0.0000423,0.0246910,0.0000000,0.0020000,0.0000000,0.0000000,0.0792665,0.3701351,0.0504667,0.0841151,
0.0000000,0.0000301,0.0175767,0.0000301,0.0235767,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.4012480,0.0425709,0.0820237,
0.0000000,0.0000274,0.0148716,0.0000274,0.0228716,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3605551,0.0406611,0.0803618,
0.0000000,0.0000258,0.0071678,0.0000258,0.0221678,0.0000000,0.0150000,0.0000000,0.0000000,0.2170804,0.3987480,0.0393863,0.0784372,
0.0000000,0.0000249,0.0029008,0.0000249,0.0219008,0.0000000,0.0190000,0.0000000,0.0000000,0.2443159,0.4049691,0.0387536,0.0769623,
0.0000000,0.0000243,0.0197997,0.0000243,0.0217997,0.0000000,0.0020000,0.0000000,0.0000000,0.0792665,0.3781534,0.0382751,0.0756090,
0.0000000,0.0000197,0.0160386,0.0000197,0.0210386,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.4024922,0.0344673,0.0741416,
0.0000000,0.0000183,0.0145122,0.0000183,0.0205122,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.3781534,0.0332335,0.0729148,
0.0000000,0.0000173,0.0059920,0.0000173,0.0199920,0.0000000,0.0140000,0.0000000,0.0000000,0.2097196,0.3535534,0.0323007,0.0715960,
0.0000000,0.0000169,0.0107560,0.0000169,0.0197560,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.4074310,0.0319243,0.0701717,
0.0000000,0.0000163,0.0124461,0.0000163,0.0194461,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.4086563,0.0313640,0.0691535,
0.0000000,0.0000156,0.0140996,0.0000156,0.0190996,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3768289,0.0306852,0.0681842,
0.0000000,0.0000147,0.0096526,0.0000147,0.0186526,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3860052,0.0298050,0.0670947,
0.0000000,0.0000143,0.0123696,0.0000143,0.0183696,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.3794733,0.0293475,0.0661035,
0.0000000,0.0000137,0.0120053,0.0000137,0.0180053,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.3741657,0.0286992,0.0651228,
0.0000000,0.0000131,0.0126523,0.0000131,0.0176523,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3885872,0.0280920,0.0641583,
0.0000000,0.0000125,0.0143165,0.0000125,0.0173165,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3768289,0.0274119,0.0633013,
0.0000000,0.0000116,0.0009236,0.0000116,0.0169236,0.0000000,0.0160000,0.0000000,0.0000000,0.2241997,0.3924283,0.0263805,0.0624266,
0.0000000,0.0000114,0.0119008,0.0000114,0.0169008,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3807887,0.0261997,0.0616514,
0.0000000,0.0000109,0.0115968,0.0000109,0.0165968,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3781534,0.0256454,0.0608590,
0.0000000,0.0000105,0.0003041,0.0000105,0.0163041,0.0000000,0.0160000,0.0000000,0.0000000,0.2241997,0.3911521,0.0251248,0.0600858,
0.0000000,0.0000103,0.0082970,0.0000103,0.0162970,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3911521,0.0249685,0.0593892,
0.0000000,0.0000101,0.0051101,0.0000101,0.0161101,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3885872,0.0246645,0.0587163,
0.0000000,0.0000099,-0.0010040,0.0000099,0.0159960,0.0000000,0.0170000,0.0000000,0.0000000,0.2310997,0.3619392,0.0244503,0.0580572,
0.0000000,0.0000098,0.0060212,0.0000098,0.0160212,0.0000000,0.0100000,0.0000000,0.0000000,0.1772454,0.3405877,0.0243146,0.0573244,
0.0000000,0.0000096,-0.0051447,0.0000096,0.0158553,0.0000000,0.0210000,0.0000000,0.0000000,0.2568530,0.3937004,0.0240890,0.0565293,
0.0000000,0.0000095,0.0109593,0.0000095,0.0159593,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3754997,0.0239837,0.0559555,
0.0000000,0.0000092,0.0127212,0.0000092,0.0157212,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3714835,0.0235563,0.0553444,
0.0000000,0.0000087,0.0024450,0.0000087,0.0154450,0.0000000,0.0130000,0.0000000,0.0000000,0.2020908,0.3728270,0.0228921,0.0547402,
0.0000000,0.0000086,0.0113934,0.0000086,0.0153934,0.0000000,0.0040000,0.0000000,0.0000000,0.1120998,0.3820994,0.0227466,0.0541595,
0.0000000,0.0000082,0.0031690,0.0000082,0.0151690,0.0000000,0.0120000,0.0000000,0.0000000,0.1941626,0.3768289,0.0222923,0.0536235,
0.0000000,0.0000081,0.0081061,0.0000081,0.0151061,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.3794733,0.0221468,0.0530887,
0.0000000,0.0000080,0.0059505,0.0000080,0.0149505,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3728270,0.0219039,0.0525767,
0.0000000,0.0000078,0.0038344,0.0000078,0.0148344,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3847077,0.0217204,0.0520616,
0.0000000,0.0000077,0.0117655,0.0000077,0.0147655,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3674235,0.0215737,0.0515913,
0.0000000,0.0000074,0.0105380,0.0000074,0.0145380,0.0000000,0.0040000,0.0000000,0.0000000,0.1120998,0.3781534,0.0210600,0.0510901,
0.0000000,0.0000071,0.0063491,0.0000071,0.0143491,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3898718,0.0206979,0.0506301,
0.0000000,0.0000070,0.0042438,0.0000070,0.0142438,0.0000000,0.0100000,0.0000000,0.0000000,0.1772454,0.3646916,0.0205237,0.0502085,
0.0000000,0.0000069,0.0061648,0.0000069,0.0141648,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3949684,0.0203875,0.0497393,
0.0000000,0.0000068,-0.0019314,0.0000068,0.0140686,0.0000000,0.0160000,0.0000000,0.0000000,0.2241997,0.3924283,0.0202210,0.0493496,
0.0000000,0.0000067,0.0010987,0.0000067,0.0140987,0.0000000,0.0130000,0.0000000,0.0000000,0.2020908,0.3937004,0.0201392,0.0489639,
0.0000000,0.0000067,0.0030819,0.0000067,0.0140819,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3591657,0.0200400,0.0485896,
0.0000000,0.0000066,0.0000265,0.0000066,0.0140265,0.0000000,0.0140000,0.0000000,0.0000000,0.2097196,0.3860052,0.0199246,0.0481510,
0.0000000,0.0000065,0.0120261,0.0000065,0.0140261,0.0000000,0.0020000,0.0000000,0.0000000,0.0792665,0.3674235,0.0198352,0.0477806,
0.0000000,0.0000061,0.0098261,0.0000061,0.0138261,0.0000000,0.0040000,0.0000000,0.0000000,0.1120998,0.3924283,0.0192420,0.0473817,
0.0000000,0.0000060,0.0086850,0.0000060,0.0136850,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3898718,0.0189646,0.0470401,
0.0000000,0.0000058,0.0095603,0.0000058,0.0135603,0.0000000,0.0040000,0.0000000,0.0000000,0.1120998,0.3794733,0.0187512,0.0467014,
0.0000000,0.0000057,0.0074177,0.0000057,0.0134177,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.3728270,0.0184943,0.0463517,
0.0000000,0.0000056,0.0053048,0.0000056,0.0133048,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3860052,0.0183287,0.0459975,
0.0000000,0.0000055,0.0092305,0.0000055,0.0132305,0.0000000,0.0040000,0.0000000,0.0000000,0.1120998,0.3714835,0.0182075,0.0456744,
0.0000000,0.0000054,0.0100931,0.0000054,0.0130931,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3898718,0.0179720,0.0453330,
0.0000000,0.0000052,-0.0030416,0.0000052,0.0129584,0.0000000,0.0160000,0.0000000,0.0000000,0.2241997,0.3728270,0.0176717,0.0450296,
0.0000000,0.0000052,0.0090022,0.0000052,0.0130022,0.0000000,0.0040000,0.0000000,0.0000000,0.1120998,0.3741657,0.0176171,0.0447048,
0.0000000,0.0000050,0.0118755,0.0000050,0.0128755,0.0000000,0.0010000,0.0000000,0.0000000,0.0560499,0.3885872,0.0174035,0.0443891,
0.0000000,0.0000046,-0.0012775,0.0000046,0.0127225,0.0000000,0.0140000,0.0000000,0.0000000,0.2097196,0.3701351,0.0166208,0.0441022,
0.0000000,0.0000046,0.0057404,0.0000046,0.0127404,0.0000000,0.0070000,0.0000000,0.0000000,0.1482941,0.3660601,0.0165688,0.0437925,
0.0000000,0.0000045,0.0046594,0.0000045,0.0126594,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3847077,0.0164664,0.0434824,
0.0000000,0.0000045,0.0016006,0.0000045,0.0126006,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3674235,0.0163783,0.0432073,
0.0000000,0.0000044,0.0095788,0.0000044,0.0125788,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3924283,0.0163151,0.0429116,
